match_id,first_bat_team,second_bat_team,url,first_bat_team_players,second_bat_team_players
T20I # 633,India,Sri Lanka,/series/sl-in-india-2017-18-1122718/india-vs-sri-lanka-1st-t20i-1122729/full-scorecard,"['Rohit Sharma', 'KL Rahul', 'Shreyas Iyer', 'MS Dhoni', 'Manish Pandey', 'Dinesh Karthik', 'Hardik Pandya', 'Kuldeep Yadav', 'Jasprit Bumrah', 'Jaydev Unadkat', 'Yuzvendra Chahal']","['Niroshan Dickwella', 'Upul Tharanga', 'Kusal Perera', 'Angelo Mathews', 'Asela Gunaratne', 'Dasun Shanaka', 'Thisara Perera', 'Akila Dananjaya', 'Dushmantha Chameera', 'Vishwa Fernando', 'Nuwan Pradeep']"
T20I # 632,India,New Zealand,/series/new-zealand-in-india-2017-18-1120077/india-vs-new-zealand-3rd-t20i-1120095/full-scorecard,"['Rohit Sharma', 'Shikhar Dhawan', 'Virat Kohli', 'Shreyas Iyer', 'Manish Pandey', 'Hardik Pandya', 'MS Dhoni', 'Bhuvneshwar Kumar', 'Jasprit Bumrah', 'Kuldeep Yadav', 'Yuzvendra Chahal']","['Martin Guptill', 'Colin Munro', 'Kane Williamson', 'Glenn Phillips', 'Colin de Grandhomme', 'Henry Nicholls', 'Tom Bruce', 'Mitchell Santner', 'Trent Boult', 'Tim Southee', 'Ish Sodhi']"
T20I # 631,New Zealand,India,/series/new-zealand-in-india-2017-18-1120077/india-vs-new-zealand-2nd-t20i-1120094/full-scorecard,"['Martin Guptill', 'Colin Munro', 'Kane Williamson', 'Tom Bruce', 'Glenn Phillips', 'Colin de Grandhomme', 'Henry Nicholls', 'Mitchell Santner', 'Trent Boult', 'Adam Milne', 'Ish Sodhi']","['Rohit Sharma', 'Shikhar Dhawan', 'Shreyas Iyer', 'Virat Kohli', 'Hardik Pandya', 'MS Dhoni', 'Axar Patel', 'Bhuvneshwar Kumar', 'Jasprit Bumrah', 'Mohammed Siraj', 'Yuzvendra Chahal']"
T20I # 630,India,New Zealand,/series/new-zealand-in-india-2017-18-1120077/india-vs-new-zealand-1st-t20i-1120093/full-scorecard,"['Rohit Sharma', 'Shikhar Dhawan', 'Hardik Pandya', 'Virat Kohli', 'MS Dhoni', 'Shreyas Iyer', 'Axar Patel', 'Bhuvneshwar Kumar', 'Ashish Nehra', 'Yuzvendra Chahal', 'Jasprit Bumrah']","['Martin Guptill', 'Colin Munro', 'Kane Williamson', 'Tom Latham', 'Tom Bruce', 'Colin de Grandhomme', 'Henry Nicholls', 'Mitchell Santner', 'Tim Southee', 'Ish Sodhi', 'Trent Boult']"
T20I # 629,Pakistan,Sri Lanka,/series/sl-in-uae-and-pak-2017-18-1120279/pakistan-vs-sri-lanka-3rd-t20i-1120293/full-scorecard,"['Fakhar Zaman', 'Umar Amin', 'Babar Azam', 'Shoaib Malik', 'Faheem Ashraf', 'Mohammad Hafeez', 'Sarfaraz Ahmed', 'Imad Wasim', 'Mohammad Amir', 'Shadab Khan', 'Hasan Ali']","['Danushka Gunathilaka', 'Dilshan Munaweera', 'Sadeera Samarawickrama', 'Mahela Udawatte', 'Dasun Shanaka', 'Chaturanga de Silva', 'Thisara Perera', 'Seekkuge Prasanna', 'Sachith Pathirana', 'Isuru Udana', 'Vikum Sanjaya']"
T20I # 628,South Africa,Bangladesh,/series/bangladesh-tour-of-sa-2017-18-1075478/south-africa-vs-bangladesh-2nd-t20i-1075508/full-scorecard,"['Hashim Amla', 'Mangaliso Mosehle', 'Jean-Paul Duminy', 'AB de Villiers', 'David Miller', 'Farhaan Behardien', 'Andile Phehlukwayo', 'Robbie Frylinck', 'Aaron Phangiso', 'Beuran Hendricks', 'Dwaine Pretorius']","['Imrul Kayes', 'Soumya Sarkar', 'Shakib Al Hasan', 'Mushfiqur Rahim', 'Sabbir Rahman', 'Mahmudullah', 'Litton Das', 'Mohammad Saifuddin', 'Mehidy Hasan Miraz', 'Taskin Ahmed', 'Rubel Hossain']"
T20I # 627,Sri Lanka,Pakistan,/series/pak-in-uae-2017-18-1120278/pakistan-vs-sri-lanka-2nd-t20i-1120292/full-scorecard,"['Danushka Gunathilaka', 'Dilshan Munaweera', 'Sadeera Samarawickrama', 'Seekkuge Prasanna', 'Thisara Perera', 'Dasun Shanaka', 'Isuru Udana', 'Mahela Udawatte', 'Sachith Pathirana', 'Ashan Priyanjan', 'Vikum Sanjaya']","['Ahmed Shehzad', 'Fakhar Zaman', 'Babar Azam', 'Shoaib Malik', 'Mohammad Hafeez', 'Sarfaraz Ahmed', 'Imad Wasim', 'Faheem Ashraf', 'Shadab Khan', 'Hasan Ali', 'Usman Shinwari']"
T20I # 625,Sri Lanka,Pakistan,/series/sl-in-uae-and-pak-2017-18-1120279/pakistan-vs-sri-lanka-1st-t20i-1120291/full-scorecard,"['Danushka Gunathilaka', 'Dilshan Munaweera', 'Sadeera Samarawickrama', 'Ashan Priyanjan', 'Mahela Udawatte', 'Sachith Pathirana', 'Dasun Shanaka', 'Seekkuge Prasanna', 'Thisara Perera', 'Isuru Udana', 'Vikum Sanjaya']","['Fakhar Zaman', 'Ahmed Shehzad', 'Babar Azam', 'Shoaib Malik', 'Mohammad Hafeez', 'Sarfaraz Ahmed', 'Imad Wasim', 'Faheem Ashraf', 'Shadab Khan', 'Hasan Ali', 'Usman Shinwari']"
T20I # 626,South Africa,Bangladesh,/series/bangladesh-tour-of-sa-2017-18-1075478/south-africa-vs-bangladesh-1st-t20i-1075507/full-scorecard,"['Quinton de Kock', 'Hashim Amla', 'AB de Villiers', 'Jean-Paul Duminy', 'David Miller', 'Farhaan Behardien', 'Andile Phehlukwayo', 'Robbie Frylinck', 'Aaron Phangiso', 'Dane Paterson', 'Beuran Hendricks']","['Imrul Kayes', 'Soumya Sarkar', 'Shakib Al Hasan', 'Mushfiqur Rahim', 'Sabbir Rahman', 'Mahmudullah', 'Mohammad Saifuddin', 'Mehidy Hasan Miraz', 'Taskin Ahmed', 'Shafiul Islam', 'Rubel Hossain']"
T20I # 624,India,Australia,/series/aus-in-ind-2017-18-1116552/india-vs-australia-2nd-t20i-1119502/full-scorecard,"['Rohit Sharma', 'Shikhar Dhawan', 'Virat Kohli', 'Manish Pandey', 'Kedar Jadhav', 'MS Dhoni', 'Hardik Pandya', 'Bhuvneshwar Kumar', 'Kuldeep Yadav', 'Jasprit Bumrah', 'Yuzvendra Chahal']","['Aaron Finch', 'David Warner', 'Moises Henriques', 'Travis Head', 'Glenn Maxwell', 'Marcus Stoinis', 'Tim Paine', 'Nathan Coulter-Nile', 'Andrew Tye', 'Adam Zampa', 'Jason Behrendorff']"
